,Index,article,headline,emotion,neg,neu,pos,compound,Sentiment,Subjectivity
180,180,wife swap maker sue copycat british producer wife swap taking legal action claim blatant wholescale copycat programme rdf medium make network abc filed damage claim million million fox trading spouse abc bought right british aired channel network claim supported rdf action respect producing partner protect intellectual property manner deem appropriate abc statement fox seen detail legal action comment screened june criticised press similarity wife swap abc originally planned programme trading mom changed avoid confusion fox version earlier nbc network claimed fox boxing champ hurriedly produced ensure programme screened nbc alleged boxing regulation violated failed attempt pulled fox proved rating flop nbc contender begin february,entertainment,joy,0.151,0.682,0.167,0.0,0.07254464285714286,0.3116071428571428
181,181,fightstar stage charlie simpson took band fightstar stage friday night hour officially announcing departure pop band busted greeted sell crowd university warwick confirmation busted long rumoured split simpson held press conference bandmates matt willis james bourne band member stressed break amicable bourne admitted devastated hear simpson departure difficult simpson revealed hope fan understand simpson declared pride busted enormous success focus turned immediately fightstar friday press conference coinciding band date tour fuelled news ticket charlie post busted live appearance university warwick student union sold rapidly mike eccleshall venue promotion coordinator ticket selling strongly sale went mad news broke completely sold queue outside venue long expectation pressure fightstar impress dedicated fan travelled gig faced tough crowd chiefly student average age audience far exceeding busted concert gone screaming girl simpson accustomed support act brigade fronted simpson brother played short met approval fightstar eventually took stage riotous cheer easily drowned heckler lurking crowd unfortunately band initially hindered technical teething problem simpson guitar amplifier failed sound technician rushed fix band member improvise eventually fightstar blend emotionally charged rock warmly received far heavier commercial busted chart topping pop punk band undoubtedly appeal mature fan base warwick student helen clutterbuck admitted came check fightstar controversy heard pretty impressed impressed fellow student ryan crabbe gordon rennie observed fightstar charlie clearly progressed busted sound inspiring fightstar played minute showcasing material forthcoming ep called liked dead release february,entertainment,joy,0.139,0.631,0.23,0.9726,0.060464943553178836,0.5661764705882352
182,182,medium battle bafta award bbc lead nomination bafta interactive award including radio time website sport interactive euro coverage award started recognise website digital tv show cd rom nominee include guardian news website theatre mtv science museum london stock exchange winner different category crowned march nearly entry bbc nomination guardian nomination nominee testament creative innovative industry grant dean chair interactive committee category include interactive tv film digital tv mobile phone shaun dead oasis definitely maybe bend beckham chaplin collection day today battle dvd category itv british spelling test take bbc olympics spook interactive interactive tv award guardian take possible nomination news sport category website coverage euro tour de france election bbc ican site technical social innovation award alongside like nottingham university uncle roy british academy film television decided split award separate interactive ceremony fully cover range innovation outside gaming industry,entertainment,love,0.054,0.697,0.249,0.9861,0.06666666666666668,0.36547619047619045
183,183,elvis regains chart position elvis presley scored number single chart release jailhouse rock death elvis knocked x factor winner steve brookstein place week chart number iron maiden number beast erasure entered chart breathe elvis number chart history come day birthday fan held tribute event singer saturday ranging concert memorabilia exhibition poll carried royalty payment performing society wonder elvis song performed live band tribute act sonybmg releasing elvis number single rate week complete original artwork collector box single night follow week chance number interest surrounding elvis birthday grows single chart scissor sister went straight number filthy gorgeous band aid slipped seven week chart christmas entry dana rayne object desire seven kasabian number cut making boulevard broken dream green day place number touch uniting nation place album chart scissor sister went number self titled release knocking green day american idiot place killer album hot fuss moved number,entertainment,joy,0.096,0.684,0.22,0.8625,-0.05777191558441559,0.4660714285714286
184,184,duran duran tv chart star duran duran appear special including interview concert footage air tuesday feature studio performance scene footage fan interview like perfect fit audience rick krim vice president talent band recently released album astronaut original line tour japan started playing try sort mature album wanted duran duran album keyboard player nick rhodes pretty line stuff duran duran currently promoting album single happens tomorrow simon le bon earlier group trying update sound want lose older fan trying hard trying connect audience singer le bon member getting like close argue fact inspire musically special,entertainment,joy,0.053,0.609,0.338,0.985,0.2173469387755102,0.502295918367347
185,185,fear raised ballet future fewer child uk dainty footstep dancer like darcey bussell carving potential career ballet dancer research royal academy dance rad found fewer child age attending ballet class taking exam discipline organisation blame growing popularity computer change lifestyle fear trend reversed fewer british ballet star future rad found youngster taking ballet exam drop age dance teacher eve trew taught ballet year told bbc news vast change year blamed modern lifestyle fall ballet attendance think child year ago hobby trouble wide open computer gameboys child got result spent ballet lesson hazel gilbert information manager newcastle gave ballet age typical problem cool thing school think focused ballet want carry love certain age disciplined want started getting thing like swimming kickboxing ballet wanted trew run dance school gateshead admitted difficult reverse trend young ballet dancer longer willing sacrifice succeed dedicated disciplined career got want work child got spend perfecting sad principal dancer royal ballet darcey bussell jonathan cope british compared principal english ballet told bbc news principal dancer british quarter dancer uk competition open audition fierce talented dancer rad launched competition try reverse decline british ballet dame antoinette sibley rad launched fonteyn nureyev young dancer competition aimed child aged hoped contest british ballet evolving spokeswoman rad responsibility ignite passion nurture young dancer term future ballet provide framework goal work constant support coaching environment work peer possibly leading artist choreographer importantly provide opportunity experience performance reignite passion ballet let experience thrill performance,entertainment,surprise,0.085,0.699,0.216,0.984,0.06507936507936508,0.4630230880230881
186,186,hank greeted wintry premiere hollywood star tom hank leicester square premiere polar express west landmark turned festive landscape complete snow carol singer celebrate arrival animated film leicester square seen hank play role movie polar express based child book tell story young boy journey meet santa claus year old actor crossed metre high bridge built square impossible hundred fan greeted star wearing santa hat mince pie offer hank film elegant message christmas special time year time academy award winner spirit christmas embodied santa claus polar express u similar lord ring bring gollum performance capture technique enables hank play role including year old boy centre story father christmas directed robert zemeckis previously worked hank forrest gump castaway,entertainment,joy,0.0,0.748,0.252,0.9836,0.025677655677655682,0.43293040293040297
187,187,tv special tsunami relief television network screen celebrity tv special benefit tsunami relief effort south asia nbc encourage viewer donation hour featuring musical performance actress sandra bullock donated american red cross actor leonardo dicaprio pledged sizable aid contribution unicef hong kong movie star recorded world mandarin cantonese raise fund song released single played regularly chinese telethon friday aid victim boxing day disaster killed left homeless food water earthquake indian ocean sent wave crashing coastal community country united nation warned killed disaster rise sharply aid reach remote area performer confirmed nbc aid relief benefit later month follows hour telethon carried major television network september terror attack america tribute hero raised victim suicide attack world trade center pentagon,entertainment,joy,0.229,0.565,0.206,-0.7717,0.01212406015037594,0.21090225563909773
188,188,chris evans market broadcaster chris evans begun selling thousand possession stall camden market london evans perched stool shopper wandered open fronted shop packed furniture item home los angeles london countless sofa chair picture bed memorabilia tv show asked reason sale evans rid headache added feel good selling stuff weight mind look clutter enjoyed bit furniture poster anymore normally gregarious evans cut peculiarly unshowbusiness like figure sipped coffee smoked cigarette wrapped big coat scarf aladdin cave ostentation item sale painted picture eccentricity endeared public show channel gameshow forget toothbrush striking thing piece sheer size sofa looked like seat small bed big elaborate nature piece custom admired particularly huge red gold upholstered throne stripy deckchair queen mary liner browsing evans piece label price helpful comic aside great comment throne bob dylan sofa honest written dark wood couch priced price steep lot standard evans deterring shopper sold lot sale bought money getting rid bartering added going reveal going money making vintage tv poster lined wall rare portrait raquel welch original advertising print benny hill hidden lock giant toothbrush channel sale sheer curiosity value sale healthy trickle interest public crowd wandered browse stall knowing belonged evans paul burgess realise thought load junk look local resident francesca detakats specially stall happy purchase original photograph wedgburg detakats collector mind paying print like count like martin hellewell point visiting evans shop thought great idea stuff rid good hellewell evans stall partner pete winterbottom plan open possible evans stay definitely christmas maybe evans,entertainment,joy,0.044,0.754,0.202,0.9931,0.22972789115646255,0.565374149659864
189,189,usher lead soul train shortlist chart topping r b usher leading field soul train award nomination singer album confession sold close copy running grammy award newcomer ciara recently beat elvis presley spot nomination alicia key soul train award ceremony hollywood usher swept board american music award title including best album award soul train nomination include best male r b soul album best male r b soul single confession ii usher rapper ludacris lil jon nomination best r b soul rap music video best r b soul rap dance song yeah duet key boo earned pair nod best r b soul single key album diary alicia key best r b soul album female song received best single nomination female r b soul category newcomer ciara nomination include best female r b soul album best r b soul rap artist beyonce prince destiny child jill scott edition received nomination soul train music award started celebrates artist r b hip hop rap gospel music,entertainment,love,0.0,0.637,0.363,0.9971,0.4077380952380953,0.3580357142857143
190,190,new york rocker talent poll new york electro rock group bravery bbc website sound poll find music scene promising new act bravery compared cure new order heavily tipped act survey impartial critic broadcaster rock band keane sound rapper cent topped sound new artist list london indie group bloc party second uk rapper kano bravery gig supported band libertine interpol echo bunnymen subject record bidding war debut single unconditional caused huge buzz released uk november singer sam endicott felt great coming sound list zillion screaming fan jackass liar expert tip bravery music critic paul connolly spiky love pop chris hawkins host bbc music chart band great guitar mastery electro clash sound bravery proof new york city hot new talent nigel harding head music london rock radio station xfm track live sounded potential single unconditional reached summit station listener chart fortnight harding described unheard achievement debut single q magazine review editor ted kessler pretty boy new york clothes horse unusually nimble ear concise yearning pop mould duran duran stroke pundit survey included bbc radio dj trevor nelson nme editor conor mcnicholas pop presenter fearne cotton glastonbury organiser emily eavis bbc radio music editor colin martin second placed rock band bloc party began rise supporting franz ferdinand uk garage mc kano signed street record label rapper hip hop great dr dre protege leeds group kaiser chief fifth promise lead britpop revival survey keane followed franz ferdinand razorlight joss stone virtually unknown outside music point boy band mcfly sixth scissor sister uk selling album seventh survey pundit asked tip act capable reaching chosen genre term critical acclaim artist country musical genre uk single contestant tv talent famous soap actor tip counted compiled,entertainment,love,0.071,0.717,0.211,0.9925,0.17202123273551853,0.4887342815914245
191,191,french honour director parker british film director sir alan parker officer order art letter france highest cultural honour sir alan received decoration paris wednesday french culture minister renaud donnedieu de vabres explored possibility film immense talent de vabres presented award parker praised french film hollywood created modern cinema u commodity minister honoured distinguished france flag carrier cinema world sir alan film include oscar winning fame plus midnight express commitment founding member director guild chairman film council board british film institute work campaign shown artist occupies essential contemporary society de vabres dream link weave question world mirror work cited director film david gale kevin spacey played man death row proof veritable artistic commitment death sentence,entertainment,joy,0.054,0.673,0.273,0.9808,0.10833333333333334,0.3013888888888889
192,192,star shine bafta red carpet hollywood star brought touch glamour london saturday biggest night british film calendar cate blanchett leonardo dicaprio richard gere actor attended bafta film award emerged limo leicester square uncertain british climate threatened rain moment promised late winter sunshine god certainly shining thousand film fan lined red carpet meet idol screaming built crescendo star appeared biggest cheer night reserved aviator star leonardo dicaprio paused chilly february air sign autograph throng ear piercing welcome unlike encountered intense loud best actress winner imelda staunton wore green chiffon dress sparkled sequin bead told vera drake highlight career role backstreet abortionist gritty low budget film led clutch award oscar nomination year happen nominated great hope film rooting staunton best actress category cate blanchett nominated supporting role hollywood icon katherine hepburn aviator shivering floor length shimmering armani dress australian born actress stopped sign autograph joked tight love glamour brought evening actress sienna miller supermodel claudia schiffer supporting husband matthew vaughn troy actress diane kruger star oc micha barton wearing caramel coloured floaty frock designer alexander mcqueen miller told reporter red carpet experience intense nerve wracking cold younger star british film represented shape emma watson play hermione harry potter film old hoping meet dicaprio keanu reef joked probably old actor christian slater starring flew cuckoo nest london west greeted cry christian christian vocal crowd keanu reef presented best actress award red carpet exciting job surreal nice nice martin scorsese movie aviator best film honoured meant lot great admirer british cinema energy best coming year cycle tough young film maker older one film recognise great honour british actor clive owen golden globe bafta supporting role closer meant lot ceremony baftas celebration british film,entertainment,fear,0.044,0.618,0.338,0.9987,0.21252024619371557,0.40354713313896984
193,193,de niro completes box office coup robert de niro completed transatlantic box office double topping uk chart different film time comedy sequel meet fockers star ben stiller dustin hoffman barbra streisand shot uk chart weekend took day time closer assault precinct time audience thriller hide seek meet fockers pick role uptight father ex cia agent comedy meet parent big leap role hide seek supernatural horror play widower daughter imaginary friend turn nasty uk box office chart meet fockers pushed closer spot police action movie assault precinct starring rapper ja rule weekend london underground thriller creep entry quirky comedy sideways got oscar nomination entered eighth place oscar nomination impact fan choice cinema leading contender aviator million dollar baby ray suffered substantial drop taking compared previous weekend,entertainment,surprise,0.17,0.69,0.14,-0.8271,-0.1125,0.44166666666666665
194,194,critic aviator oscar martin scorsese aviator win best film oscar uk movie critic surveyed bbc news website think veteran film maker lose best director prize clint eastwood critic tipped jamie foxx hilary swank scoop best actor actress ray million dollar baby respectively jury comprised expert critic uk film publication panel revealed nominee personally prefer win expect aviator win best film think close race scorsese hughes biopic eastwood boxing drama million dollar baby nominated wine comedy sideways factual drama finding neverland ray charles biopic ray pretty aviator choice sideways observer philip french sideways win hope jamie graham total film shared film presenter jonathan ross going oscar aviator liked million dollar baby tim dam news editor weekly screen international critic tipped scorsese win best director mr dam heat charles gant empire angie errigo plumping eastwood sideway alexander payne ray taylor hackford director mike leigh nominated period drama vera drake considered outsider category sworn scorsese scorsese errigo told bbc news website beginning think eastwood happy mike leigh win think chance charles gant film editor heat foxx portrayal ray charles win prize golden globe baftas screen actor guild award mr dam favourite named best actor oscar night incredibly surprised win betting close certainty paul giamatti nominated sideways total film jamie graham foxx win vera drake imelda staunton nominated best actress alongside kate winslet chance paper jonathan ross happy winslet win eternal sunshine spotless mind wendy ide time think staunton chance heat charles gant belief bafta win ice academy voter staunton win chance mr gant predicted oscar hilary swank think swank win mr french imelda going staunton choice steven gaydos editor magazine variety tipped swank win predicted close contest ability flip vote told bbc news website sense obvious going thousand voted bbc poll best film best picture oscar audience voted overwhelmingly shawshank redemption frank darabont tale hope humanity vote text message finalist citizen kane matter death split remaining vote roughly equally academy award shown uk sky movie gmt tim dam screen international film aviator director clint eastwood actor jamie foxx actress hilary swank angie errigo empire film aviator director clint eastwood actor jamie foxx actress hilary swank philip french observer film aviator director martin scorsese actor jamie foxx actress hilary swank charles gant heat film aviator director clint eastwood actor jamie foxx actress hilary swank steven gaydos variety film aviator director martin scorsese actor jamie foxx actress hilary swank jamie graham total film film aviator director martin scorsese actor jamie foxx actress hilary swank wendy ide time film aviator director martin scorsese actor jamie foxx actress imelda staunton jonathan ross film film aviator director martin scorsese actor jamie foxx actress hilary swank tim dam screen international film million dollar baby director clint eastwood actor jamie foxx actress hilary swank angie errigo empire film aviator director martin scorsese actor jamie foxx actress hilary swank philip french observer film sideways director martin scorsese actor jamie foxx actress imelda staunton charles gant heat film sideways director mike leigh actor jamie foxx actress imelda staunton steven gaydos variety film million dollar baby director clint eastwood actor cheadle actress imelda staunton jamie graham total film film sideways director alexander payne actor jamie foxx actress hilary swank wendy ide time film sideways director alexander payne actor cheadle actress imelda staunton jonathan ross film film sideways director clint eastwood actor jamie foxx actress kate winslet,entertainment,joy,0.028,0.746,0.226,0.9992,0.5119565217391306,0.40543478260869575
195,195,briton win short film oscar nominee live short film category oscar british andrea arnold category ashvin kumar gary mckendry past month thrust relative obscurity limelight arnold gritty drama wasp single mother living breadline kumar little terrorist follows young pakistani muslim boy get stuck wrong heavily armed indian border mckendry entry force british soldier catholic challenge relationship trouble northern ireland week trio attended official screening nominated short film academy headquarters beverly hill felt privileged thousand people watching film screen say arnold native dartford wasp tell story young mum unable find babysitter leaf young daughter outside pub date image sparked film wasp crawling baby mouth nominee film reason image shake outwards come explains presented child tv show motormouth arnold kept low profile trouble adapting sudden onslaught attention interested publicity personality overwhelmed fuss bit beauty contest film different film award worldwide sundance month proud asked nomination mean arnold say feel flattered honoured overwhelmed response perspective reeling commit opinion hollywood middle living moment moment day day reservation academy award medium frenzy surround accepts opened door people definitely listen phone stop ringing week nominated arnold firmly belief stronger vision short film left device people interfering working feature film dogville dancer dark lars von trier,entertainment,joy,0.096,0.718,0.185,0.9606,-0.014266615737203973,0.36328781512605046
196,196,day lewis berlin honour actor daniel day lewis presented award career film berlin film festival credit include oscar winning performance left foot presented berlinale camera award february honour awarded honour figure cinema festival feel particularly indebted man man historical epic starring kristin scott thomas open german festival february candid documentary life career singer george michael different story screened day event day lewis competed berlin film festival film father crucible boxer martin scorsese gang york festival praise sensational start role beautiful launderette costume classic room view celebrated role subsequent production japan oldest film studio honoured day lewis shochiku film studio founded ago cinematic institution receive berlinale camera award famous japanese director akira kurosawa film produced studio,entertainment,joy,0.0,0.615,0.385,0.9959,0.21666666666666667,0.4009259259259259
197,197,bafta hand movie honour movie star globe attending bafta film award ceremony british star imelda staunton clive owen hoping award odeon leicester square hollywood star leonardo dicaprio pierce brosnan christian slater richard gere audience biggest night uk film hollywood blockbuster aviator starring dicaprio lead field nomination best movie eternal sunshine spotless mind finding neverland motorcycle diary british film vera drake nomination staunton favourite land best actress award gritty role backstreet abortionist small budget film arrived ceremony wearing green silk chiffon evening dress decorated bead lovely british soil nice told reporter nervous best actress nomination hand mate going nice evening nominee best actress category charlize theron monster ziyi zhang flying dagger uk star kate winslet nod role eternal sunshine spotless mind finding neverland dicaprio face competition bernal jamie foxx jim carrey johnny depp best actor category crowed screamed arrived red carpet unlike encountered intense loud told bbc time baftas time nominated appreciated british cinema time recognised special honour gere presenting best film award big idea going big crazy bigger academy award british actor owen hoping repeat golden globe success best supporting actor award role closer raised biggest cheer night walked red carpet huge fan closer appear film huge thrill experience treat fortunate role co star natalie portman blanchett heather craney julie cristie meryl streep best supporting actress category mike leigh best award vera drake alongside martin scorsese aviator mann collateral michel gondry eternal sunshine spotless mind marc forster finding neverland orange british academy film award shown bbc gmt,entertainment,love,0.019,0.573,0.408,0.9992,0.32838827838827844,0.37106227106227113
198,198,star war child sixth star war movie suitable young child film maker george lucas told tv minute revenge sith darkest violent series think old told cbs programme aired sunday lucas predicted film rating advising parent scene unsuitable open uk film classified pg roughly equivalent rating previous star war film carried restrictive pg parental guidance rating uk passed u suitable exception attack clone pg rating revenge sith prequel original star war film chronicle transformation heroic anakin skywalker evil darth vader travel hell planet composed erupting volcano molten lava watch pact devil lucas film dark emotional tragedy,entertainment,anger,0.371,0.574,0.055,-0.9931,0.018452380952380942,0.6119047619047618
199,199,blair buy copy new band aid prime minister tony blair purchased copy charity single band aid edinburgh friday staff surprised prime minister walked hmv gmt accompanied aide local police blair came unannounced pretty gobsmacked hmv manager clive smith customer helper approached realised wanted buy copy band aid single latest eminem album predicted chart topper know christmas sell copy time new chart announced sunday new version single going released despite sold country world record shop stocking import version know christmas selling los angeles new york original track released reached number single chart star appear current recording dido coldplay chris martin known music fan atlantic frontman bono record universal responsible global distribution single available asia south america canada music fan access song download band aid official website profile american star known usa africa came record fund raising single world song written lionel richie jackson quincy jones producer topped chart week grammy award record song dionne warwick diana ross tina turner performer predicted band aid song sell copy time new chart announced sunday record tipped christmas number original version proceeds sale going relief darfur region sudan combat hiv aid africa,entertainment,surprise,0.012,0.832,0.157,0.975,0.10666290231507623,0.40036702428006776
200,200,charity anthem released american charity anthem inspired success band aid issued raise money aid research tsunami victim star sang group usa africa including lionel richie diana ross ray charles bob dylan michael jackson bruce springsteen topped chart raising million dollar african famine relief release mark anniversary original recording issued disc dvd feature footage recording session track january single originally released march sold copy week went win grammys song,entertainment,sadness,0.025,0.716,0.259,0.9618,0.2129464285714286,0.27053571428571427
201,201,mccririck big brother racing pundit john mccririck contestant evicted celebrity big brother nominated leave channel fellow housemate alongside happy monday dancer bez bez popular contestant withdrawn argumentative mccririck ordered leave house monday jackie stallone actor sylvester mother evicted bez reacted badly nominated fellow housemate whilst john received vote sylvester stallone ex wife brigitte nielsen nominated john bez bez difficult human wrong effort happy holby city actor jeremy edward nominated bez agitated friday night talked escaping wall clubbing bez loopy stressed bookmaker ladbrokes john mccririck favourite evicted monday bez mccririck faced vote friday received vote house whilst jackie stallone evicted,entertainment,joy,0.162,0.741,0.097,-0.6808,0.055555555555555566,0.6407407407407407
202,202,ethnic producer face barrier minority ethnic led mel production company face barrier succeeding film television industry research suggested study commissioned pact uk film council included interview industry expert individual indicated career progression lack role model main problem company research indicated independent production company uk minority ethnic led minority ethnic led defined majority decision making power rest individual individual minority ethnic report explored problem faced company attempting compete film tv industry smaller company lack resource squeezed bigger firm research recommended minority ethnic led company benefit positive action career training advice plus improved communication film tv sector uk rich diverse culture essential reflected film television art estelle morris finding welcome report hope lead door opened business film television industry given opportunity,entertainment,joy,0.09,0.722,0.188,0.9432,0.112995337995338,0.43490675990675987
203,203,singer knight back anti gun song r b star beverley knight sang anti gun single haunted fatal shooting teenage girl birmingham knight drum n bass star roni size released bid reduce gun use young horrified death charlene elli letisha shakespeare size form album mercury prize gun use glamorised firearm offence gun crime death wale june according home office figure knight scale problem clear shooting aston near knight birmingham home haunted honest haunted sleep size involved friend donna small asha jama shot bristol hometown october jama sight eye old small suffered head injury size collaborated single released monday bird eye view seen thing happen glamorised,entertainment,fear,0.37,0.51,0.121,-0.9873,0.017261904761904763,0.3343253968253968
204,204,film row pirate cannibal portray dominica carib indian cannibal sequel film pirate caribbean criticised group chief carib chief charles williams talk disney producer revealed element cannibalism script removed caribbean island disney planned film dominica carib long denied ancestor practised cannibalism disney unavailable comment ancestor stood early conqueror stood labelled savage cannibal today mr williams perpetuated movie shooting sequel begin april hundred dominican applying extra movie carib live island dominica population carib killed disease war colonisation mr williams received support indigenous group effort cannibalism reference removed film admitted member carib council support campaign understand history weak committed cause carib pirate caribbean film took box office cast crew sequel released,entertainment,joy,0.158,0.772,0.07,-0.9201,-0.06477272727272727,0.3208333333333333
205,205,famed director viotti dy conductor marcello viotti director venice famous la fenice theatre died germany viotti director la fenice conducted renowned opera house worldwide including milan la scala vienna state opera la fenice coincided reopening destroyed fire fell coma suffering stroke rehearsal jules massenet manon conducted orchestra including berlin philharmonic english chamber orchestra viotti born switzerland studied piano cello singing lausanne conservatory career breakthrough came prize gino marinuzzi conducting competition italy viotti established chief conductor turin opera chief conductor munich orchestra la fenice viotti widely acclaimed production french composer massenet thai production included giuseppe verdi la traviata richard strauss ariadne auf naxos opera directed la fenice massenet le roi de lahore viotti debut york metropolitan opera came giacomo puccini madame butterfly followed la boheme la traviata fromental halevy la juive giampaolo vianello superintendent fenice theatre foundation filled extreme sadness artist missed friend character joyous rebirth theatre viotti performance conducted vincenzo bellini norma vienna state opera,entertainment,sadness,0.1,0.839,0.061,-0.7003,0.08214285714285716,0.4714285714285714
206,206,sued rat eating stunt tv network sued viewer say disgusted watching contestant eat dead rat stunt austin aitken taking action nbc programme fear factor watching caused blood pressure rise high dizzy light headed legal assistant nbc sending wrong message viewer cash reasoning hand written page lawsuit individual eat drink dead rat crazy viewer point view throw house aitken life cleveland light headed ran bedroom knocked head doorway nbc comment lawsuit confirmed stunt feature rat eating scene york time square november past show featured viewer eating spider live worm programme screened sky,entertainment,fear,0.255,0.703,0.042,-0.9716,-0.0681168831168831,0.5707142857142858
207,207,pop band busted break chart topping pop band busted confirmed plan break following rumour verge splitting statement band record universal frontman charlie simpson planned spend working band fightstar busted reconvene course band hit including one hit chart single include school crashed wedding david band includes member matt jay james bourne self titled debut album follow present best pop act best breakthrough act brit award nominated best british group recently topped chart theme live action version thunderbird voted record band capitalised craze artist playing catchy pop rock overtone trio seen alternative manufactured artist considered credible musician write song play instrument recent rumour suggested simpson wanting quit band focus fightstar fightstar tour,entertainment,sadness,0.013,0.825,0.163,0.9623,0.28320964749536176,0.286734693877551
208,208,bet big brother leak bookmaker stopped bet celebrity big brother claiming sensitive information channel leaked william hill people tried place bet friday surprise double eviction highly unlikely inspired guess william hill spokesman rupert adam big brother spokeswoman satisfied sensitive information remained confidential bookmaker suspicion aroused betting contestant eviction people trying place large sum odds short william hill overwhelming evidence friday unknown caller asked place bet surprise double eviction shortly model caprice actor jeremy edward left mr adam believed gained access figure revealed viewer voting predict celebrity evicted think somebody trying cleaner bet taken mr adam channel big brother producer endemol tried place queried bet added need people privy sensitive information big brother spokeswoman handful senior production executive privy sensitive information eviction voting strict procedure place information strictly confidential feel need investigate satisfied measure effective independent adjudicator electoral reform satisfied added current series celebrity big brother end sunday happy monday star bez actress brigitte nielsen blazin squad rapper kenzie competing charity prize bookmaker ladbrokes continue accept bet kenzie favourite felt need whatsoever close book spokesman warren lush absolutely suspicious betting pattern mr lush added people vote short odds think buying money risk money small gain think chance upset,entertainment,joy,0.119,0.71,0.171,0.9115,0.11450892857142858,0.4829241071428572
209,209,singer ferguson facing eviction degree star sheila ferguson favourite evicted itv celebrity monday bookmaker ladbrokes singer odds contestant voted close sheila favourite shown bit troublemaker ladbrokes warren lush comic joe pasquale remains odds favourite win reality mr lush added nancy sorrell chance departure increased surprise arrival husband vic reef jungle camp wednesday notwithstanding comedian reef remains favourite win pasquale huggy bear actor antonio fargas remains contender eviction live pre hype big gamble natalie appleton bookie fancy million piling misery putting bushtucker trial added mr lush saint star performed dismally bushtucker trial plunged glass tank containing putrid waste challenged eat fish eye friday ladbrokes suspended betting singer brian harvey quit folllowing blazing row janet street porter harvey entered camp contestant learning grandmother died reached tether meagre ration row,entertainment,joy,0.153,0.721,0.125,-0.743,0.23181818181818178,0.3111111111111111
210,210,hundred vie best film oscar total film eligible best film oscar chosen forward nominee academy motion picture art science sent ballot paper list film vying recognition receive nomination aviator dollar baby sideways academy member vote favourite nominee announced eligible nomination film shown commercial theatre seven consecutive deadline december martin scorsese aviator starring leonardo dicaprio went release christmas ensuring deadline studio begun lobbying voter page advert trade publication variety urging remember particular film come choosing movie tipped possible success include closer starring jude law julia robert finding neverland johnny depp author jm barry kinsey starring liam neeson famed sex scientist alfred kinsey design engineer takuo miyagishima awarded oscar scientific technical award dinner february miyagishima recipient sawyer award presented individual motion picture industry technological contribution brought credit industry main oscar ceremony held los angeles february,entertainment,joy,0.009,0.817,0.175,0.9781,0.2633333333333333,0.3516666666666667
211,211,obituary dame alicia markova dame alicia markova died bath aged prima ballerina modern age heyday greatest western world born lilian alicia mark parent comfortably father mining engineer drove roll royce mother decision changed life fearing flat foot weak leg arranged ballet lesson quickly apparent special spotted russian artistic impresario sergei diaghilev dance ballet ru ill diphtheria kept touch eventually governess tow joined diaghilev monte carlo toured venue diaghilev changed consulting life excitement matisse stravinsky uncle charge musical education soon diaghilev death alicia markova returned england britain ballerina helped launch ballet club mercury theatre ballet rambert vic well ballet anton dolin markova dolin ballet began young choreographer anthony tudor frederick ashton huge influence direction ballet west version giselle lightness grace considered finest outstanding dying swan ballerina le sylphides helped popularise ballet britain america alicia markova spent world war ii state formed ballet ru huge audience appeared hollywood movie england anton dolin jointly established festival ballet retired instant decision largely leg injury created dame career teacher travelled world directing ballet putting show ballet metropolitan opera ballet york professor ballet performing art university cincinnati critic dame alicia markova dancing gave illusion moving weight ground,entertainment,sadness,0.111,0.741,0.148,0.7579,0.14273809523809527,0.5220833333333333
212,212,da vinci code lousy history plot international bestseller thousand reader receive christmas present laughable clergyman da vinci code claim jesus crucified married mary magdalene died normal death claim later covered church bishop durham rt rev dr tom wright described novel great thriller lousy history book sold seven copy worldwide despite enjoying dan brown conspiracy theory bishop lack evidence claim writing christmas message northern echo bishop conspiracy theory fun fun invent fun read fun fantasise dan brown best writer genre know century history underlying material laughable great credible evidence prof biblical version jesus true according bishop evidence jesus origin christianity astonishingly literally early manuscript gospel letter testament main classical author cicero virgil tacitus historical research show present coherent thoroughly credible picture jesus sort incidental detail fit lived fit later legend brown book publishing phenomenon consistently topping book chart da vinci code translated language spawned cottage publication including guide read book rebuttal counter claim book international best seller little starring tom hank,entertainment,sadness,0.127,0.662,0.211,0.9363,0.2052696078431373,0.3921568627450981
213,213,star join tsunami tv brad pitt robert de niro hugh grant line hour tv special raise money victim asian tsunami andy garcia lucy liu natalie portman jay leno name saturday tsunami aid join list singer madonna sir elton nelly usher plus actor kevin spacey halle berry george clooney nbc broadcast viewer urged phone donation night norah jones diana ross stevie wonder maroon mary j blige eric clapton musical performance described concert hope catherine zeta jones douglas bruce willis uma thurman matt damon drew barrymore tim robbins movie superstar appearance george clooney recently reacted angrily tv host suggestion fund raised tsunami relief fox tv bill reilly watching money get tsunami victim warned celebrity involved way line clooney accused reilly creating fuss personal gain viewer afraid money urged reilly co present tv special adding letter trying save life simple joint effort organiser fund american red cross commercial free benefit aired string cable broadcaster clear channel radio station addition performance available buy internet downloads sony connect store similar tv benefit carried primary tv network september terror attack raised bangkok festival way thursday thai capital shadow death tsunami red carpet gala opening night ditched favour subdued night different film shown cinema money ticket charity,entertainment,love,0.089,0.714,0.197,0.9756,0.03601190476190477,0.3263888888888889
